FileName,Reg1AvgEntropy,Reg1StdEntropy,Reg1Area,Reg2AvgEntropy,Reg2StdEntropy,Reg2Area,Reg3AvgEntropy,Reg3StdEntropy,Reg3Area,Reg4AvgEntropy,Reg4StdEntropy,Reg4AreaProcTime(s)
BBSLID830831_Megachile_MAXIMEGACHILE_maxillosa_male_lateralhabitus_E.jpg,42.878,78.502,8395780.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.273
E_SEMC1167976_Xenostelis_polychroma_female_lateralhabitus_black_5x.jpg,47.943,75.658,25086623.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.898
FDP110455_Ceratina_Rhysoceratina_sp_male_lateralhabitus_Complete.jpg,68.464,99.438,8331402.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.121
FDP127464_Ceratina_Lioceratina_sp_female_lateralhabitus_Complete.jpg,56.080,94.027,8362065.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.444
FDP163588_Ceratina_Ceratinidia_sp_male_lateralhabitus_Complete_20(3).jpg,49.619,86.314,8277420.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.353
FDP64521_Megachile_Rhodomegachile_aff_deanii_male_habitus_E.jpg,62.694,94.231,8295333.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.852
FDP78586_Megachile_CHALICODOMOIDES_aethiops_male_lateralhabitus2a.jpg,62.507,92.930,8400315.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.687
FDP97393_Ceratina_PITHITIS_binghami_female_E.jpg,57.246,96.605,8345042.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.624
Hoplostelis_multiplicata_female_lateralhabitus.jpg,56.520,83.221,8378990.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.447
ReeditPinStill_20InPhoto_BBSL723948_Microthurge_corumbae_female_lateralhabitus.jpg,89.240,92.492,9321273.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.576
Stelis_cooperi_Factsheet_EDITED-2.jpg,29.551,69.878,21312453.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.071
